"uid","wave","wvsccode","year","region","censusd","censusr","raceethnic","white","black","hispanic","party","gop","strongleader","armyrule","expertdecision","havedem","demtaxrich","demrelig","demchooseleaders","demaidunemp","demarmycoup","demcivilrights","demeconomy","demcriminals","dempeoplelaws","demwomenrights","demincome","demimp","democraticness","age","female","unemployed","satisfin","ideo","socialclass","incscale","educat","hsedorless","lessthanhs","collegeed","educatr","emancvalues","kid_ind","kid_imag","kid_obed","laut","se_laut","menjob","menleaders","boycollege","lequ","se_lequ","hj","aj","dj","lcho","se_lcho","acsay","apsay","lvoi","se_lvoi","lemanc","sldummy","hddummy","z_sl","z_age","z_ideo","z_lemanc","z_laut","z_lequ","z_lcho","z_lvoi","z_incscale"
21,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Republican",1,1,1,1,3,,,,,,,,,,,,,,38,1,0,3,4,2,5,4,1,0,0,"HS grad",0.402222,1,0,1,0.471476466386469,0.757386361734995,1,2,2,-1.54455860050704,0.304298883673098,2,2,5,-0.452605114387032,0.341351643015971,2,0,0.799068836988992,0.696095265470042,-0.181654602879654,0,0,-0.439346877008906,-0.287943680450628,-0.203441080370862,-0.0878445128266977,0.433438133573981,-0.729870576642059,-0.122211534427587,0.399936643402104,-0.0994261265568622
22,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Democrat",0,1,3,1,3,,,,,,,,,,,,,,79,1,0,9,7,1,4,2,1,1,0,"Did not finish HS",0.193333,0,0,1,0.125631677910071,0.702699549491361,1,3,3,-0.311666814055464,0.463273419997865,1,1,1,-1.7355264725249,0.591394744301695,0,0,-0.927567571849531,0.771586888129888,-0.712282295129955,0,0,-0.439346877008906,0.850965317117482,0.579127666229753,-0.628160383712106,0.18076307902141,-0.0439444365423388,-0.849078403545326,-0.773209870091378,-0.30017082424634
23,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Democrat",0,1,1,1,4,,,,,,,,,,,,,,59,0,0,6,4,1,4,2,1,1,0,"Did not finish HS",0.14,0,0,1,0.125631677910071,0.702699549491361,1,1,1,-2.44725129518392,0.446668057258937,1,1,1,-1.7355264725249,0.591394744301695,,,,,-1.06589077997642,0,0,-0.439346877008906,0.295399952450111,-0.203441080370862,-0.988225037767445,0.18076307902141,-1.23208863224125,-0.849078403545326,,-0.30017082424634
24,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Republican",1,2,3,1,4,,,,,,,,,,,,,,50,1,0,7,6,2,6,8,0,0,1,"College educated",0.429306,1,0,1,0.471476466386469,0.757386361734995,2,2,3,-0.58958635123165,0.469927477417546,3,1,5,-0.662042009512357,0.39842153243615,0,1,-0.707339238667621,0.723983984503147,-0.37187278325629,0,0,0.128807631789148,0.0453955383497944,0.318271417362881,-0.281535688936592,0.433438133573981,-0.198566502719149,-0.240872541411248,-0.623577845698569,0.101318571132615
25,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,"Independent",0,2,4,1,4,,,,,,,,,,,,,,,0,0,9,5,1,2,8,0,0,1,"College educated",0.12375,0,0,0,-1.12733674839528,0.684164779269578,1,2,3,-0.597911156774117,0.469288966577572,1,1,1,-1.7355264725249,0.591394744301695,0,1,-0.707339238667621,0.723983984503147,-1.04202840409048,0,0,0.128807631789148,,0.0574151684960099,-0.963926983601577,-0.734658740298445,-0.203198054162329,-0.849078403545326,-0.623577845698569,-0.701660219625295
26,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,"Democrat",0,4,,1,4,,,,,,,,,,,,,,68,0,0,6,5,1,4,3,1,1,0,"Did not finish HS",0.421945,0,0,1,0.125631677910071,0.702699549491361,1,3,2,-1.42890890025337,0.31262271779401,8,1,6,-0.153006711732949,0.449193830241786,1,2,0.338874257656122,0.562154073339517,-0.279352419105032,1,0,1.26511664938526,0.545404366550428,0.0574151684960099,-0.187326091772482,0.18076307902141,-0.665528228537848,0.0475324265319029,0.087261859348337,-0.30017082424634
27,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,"Independent",0,3,3,2,,,,,,,,,,,,,,,35,1,0,5,2,2,6,6,1,0,0,"HS grad",0.539203,1,0,1,0.471476466386469,0.757386361734995,,3,3,-0.302885385870127,0.462372457500074,1,1,6,-0.741907728068249,0.466972057039914,,1,-0.179829750656912,0.933126179784928,-0.188286599552205,1,,0.696962140587202,-0.371278485150734,-0.725153578104604,-0.0945975962224065,0.433438133573981,-0.0390588405752614,-0.28612219325337,-0.265166593899018,0.101318571132615
28,3,840,1995,5,"West South Central","South","Black",0,1,0,"Democrat",0,2,3,1,3,,,,,,,,,,,,,,76,0,0,5,5,1,5,1,1,1,0,"Did not finish HS",0.336713,0,1,1,0.413389421389005,0.748155754372448,1,2,3,-0.597911156774117,0.469288966577572,2,3,3,-0.561422849208554,0.354558320210815,0,1,-0.707339238667621,0.723983984503147,-0.363320955815322,0,0,0.128807631789148,0.767630512417376,0.0574151684960099,-0.272827722581062,0.390999595384086,-0.203198054162329,-0.183864577860436,-0.623577845698569,-0.0994261265568622
29,3,840,1995,5,"West South Central","South","Black",0,1,0,"Democrat",0,3,3,2,4,,,,,,,,,,,,,,62,1,0,4,4,1,4,2,1,1,0,"Did not finish HS",0.354954,0,0,1,0.125631677910071,0.702699549491361,2,3,3,-0.303593230664265,0.462428387961549,2,2,3,-0.654215241610014,0.348372807638326,0,1,-0.707339238667621,0.723983984503147,-0.384879008257957,1,0,0.696962140587202,0.378734757150217,-0.203441080370862,-0.294779381060735,0.18076307902141,-0.039452653927551,-0.236438116616306,-0.623577845698569,-0.30017082424634
30,3,840,1995,5,"West South Central","South","Black",0,1,0,"Democrat",0,2,3,2,3,,,,,,,,,,,,,,80,1,0,4,4,1,3,1,1,1,0,"Did not finish HS",0.322963,1,0,0,-0.839208135807794,0.650680871032117,2,3,3,-0.303593230664265,0.462428387961549,3,1,4,-0.840414505935627,0.394441947194662,0,0,-0.927567571849531,0.771586888129888,-0.727695861064304,0,0,0.128807631789148,0.878743585350851,-0.203441080370862,-0.643855369900915,-0.524151266051314,-0.039452653927551,-0.341933340804351,-0.773209870091378,-0.500915521935817
